,sa_finance1_cocode,sa_company_name,sa_finance1_year,sa_total_income,sa_sales,sa_total_assets,sa_pat,sa_total_liabilities,sa_gross_working_capital_cosm,sa_current_assets_incl_st_invest_loans,sa_current_liabilities,sa_cash_bal,sa_st_trade_bills_receivables,sa_debtors_more_6m,sa_st_trade_receivables,sa_nf_operating_expenses,sa_f_operating_expenses,sa_dep_owned_ast,sa_retained_profits,sa_pbit,sa_interest_inc,sa_interest_exp,sa_st_inventories,sa_pbdita_net_of_peoifi,sa_pbpt_net_of_peoi,sa_total_capital,sa_gross_fixed_assets,sa_pbdita,sa_cost_of_goods_sold,sa_cost_of_sales,sa_total_expense,sa_net_sales,sa_depreciation,sa_non_current_assets,sa_net_fixed_assets,sa_gross_fixed_assets.1,sa_non_fin_services_inc,sa_inc_fin_serv,sa_net_working_capital,sa_non_current_liabilities,sa_tot_inc_net_of_pe,sa_sales_n_chg_in_stk,sa_chg_in_assets_with_no_chg_in_efficiency,sa_chg_in_efficiency_with_no_chg_in_assets,sa_chg_in_efficiency_on_chg_in_assets,sa_reported_pat,sa_diff_in_pat,sa_pbpt,sa_pbt,sa_pbit_net_of_peoifi,sa_cash_profit,sa_equity_div_inc_dist_pc_pat,sa_sales_net_fixed_assets,sa_total_income_avg_tot_asset_net_miscexp_now_reval,sa_chg_in_efficiency_in_use_of_assets,sa_pc_chg_in_efficiency_with_no_chg_in_assets,sa_pc_chg_in_assets_with_no_chg_in_efficiency,sa_pc_chg_in_efficiency_on_chg_in_assets,sa_total_div_pc_pat,sa_total_interest_exp,sa_nf_oper_exp_pc_total_exp,sa_f_oper_exp_pc_total_exp,sa_fin_serv_exp_pc_total_exp,sa_pbpt_net_of_peoi_inc_fin_serv,sa_pat_cont_ops_pc_inc_cont_ops,sa_pat_discont_ops_pc_inc_discont_ops,sa_total_provisions_pc_pbdita,sa_write_offs_pc_pbdita,sa_depreciation_pc_pbdita,sa_amortisation_pc_pbdita,sa_fin_serv_exp_pc_pbdita,sa_prov_direct_tax_pc_pbdita,sa_pat_pc_pbdita,sa_pbdita_pc_total_inc,sa_pbt_pc_total_inc,sa_pat_pc_total_inc,sa_cash_profit_pc_total_inc,sa_pat_net_of_pe_pc_tot_inc_net_of_pe,sa_pat_net_of_pe_pc_avg_networth,sa_pat_pc_avg_networth,sa_cash_profit_pc_avg_networth,sa_pbpt_net_of_peoi_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_capital_employed,sa_pat_pc_avg_capital_employed,sa_pat_net_of_pe_pc_avg_tot_asset_net_menow_reval,sa_pc_chg_in_profitability_with_no_chg_in_income,sa_st_trade_bills_receivables_pc_current_assets_incl_st_invest_loans,sa_quick_ratio,sa_current_ratio,sa_debt_equity,sa_cash_n_bank_no_fd_security_current_liab_n_prov,sa_cash_n_bank_no_fd_security_cost_of_sales_per_day,sa_rawmat_stores_spares_avg_stk_rawmat_stores,sa_cost_of_goods_sold_avg_stk_fg,sa_sales_avg_debtors,sa_creditors_turnover,sa_total_inc_net_of_pe_compensation_to_empl,sa_sales_avg_gfa_net_of_reval,sa_sales_net_repairs_avg_nfa_net_of_reval,equity_facevalue_on_stkdate,eps_on_stkdate,equity_bv_on_stkdate,high_price,stock_returns,market_cap,pe,pb,traded_qty
12296,174763,SCANDENT IMAGING LTD.,2018,54.3,51.9,99.0,8.6,99.0,0.7361,4.5,44.3,0.9,,,,39.1,40.2,3.9,8.6,12.0,1.1,1.1,0.7,13.5,9.6,321.0,83.0,15.9,19.78,41.6,46.4,51.9,3.9,94.5,72.5,83.0,51.9,1.1,-42.3,3.0,54.3,52.6,10.4924,15.654000000000002,8.2536,8.6,0.0,10.9,10.9,9.6,12.5,0.0,71.5862,0.7047,1.2932,45.5058,30.5011,26.9053,0.0,1.1,84.2672,86.6379,2.3707,8.7273,15.8379,0.0,0.0,0.0,24.5283,0.0,6.9182,14.4654,54.0881,29.2818,20.0737,15.8379,23.0203,15.8379,18.9845,18.9845,27.5938,20.339000000000002,18.2203,18.2203,11.1616,24.7156,0.0,0.0733,0.0884,0.0565,0.0517,21.0577,,56.5143,,8.0,4.6017,0.9105,1.0701,10.0,0.4829,53.4,24.25,1.1,778.425,75.7709,18.202,44000.0
12310,174924,PHILLIPS CARBON BLACK LTD.,2018,26544.0,26212.0,31719.0,2297.9,31719.0,7985.4456,12317.5,10062.2,237.8,5304.4,84.7,5304.4,22113.9,22811.3,605.3,2049.0,3740.7,19.2,387.2,3099.0,4014.0,2972.1,344.7,15750.4,4346.0,19665.84,22693.5,24162.0,25581.2,605.3,19401.5,13947.3,15750.4,,260.8,-1128.4,4620.2,26480.2,26127.9,1230.0816,3237.5269,181.8915,2297.9,0.0,3043.3,3038.3,3408.7,2667.2,8.9995,187.93599999999998,0.9273,3.0537,69.6317,26.4562,4.3925,8.9995,392.8,91.5235,94.4098,2.8864,11.3961,8.6569,0.0,0.115,0.0,13.9277,0.0,16.0469,17.0364,52.8739,16.3728,11.4463,8.6569,10.0482,8.4369,19.962,20.5321,23.8318,16.0053,12.0311,12.3746,7.8051,73.9226,43.0639,0.679,0.9149,0.5882,0.1009,21.747,6.9986,61.6001,5.1877,4.6789,27.2486,1.8584,2.0821,10.0,64.8174,13170.0,1594.9,1.195,52459.6446,27.3384,4.4669,6332086.0
12322,175018,PHOENIX MILLS LTD.,2018,4498.8,3972.0,35153.7,1548.3,35153.7,123.3474,2696.0,1868.1,0.3,267.3,,267.3,1436.0,2181.3,402.9,1172.9,2655.3,187.4,721.7,,2536.0,1903.6,306.3,9346.1,3058.2,894.88,1822.0,2950.5,3891.6,402.9,32457.7,6378.0,9346.1,3972.0,515.8,-452.7,7440.7,4498.8,3972.0,105.79799999999999,72.5253,1.7767,1548.3,0.0,1910.0,1901.1,2133.1,1948.9,23.7099,62.2766,0.1304,0.2184,40.2695,58.744,8.5997,23.7099,721.7,48.6697,73.9298,25.2601,3.6906,34.4158,0.0,0.2714,0.0196,13.1744,0.0,24.3705,11.5362,50.6278,67.9781,42.2579,34.4158,43.3204,34.5181,6.2334,6.215,7.8229999999999995,5.9021,4.8148,4.8005,4.502,69.8182,9.9147,0.4273,0.758,0.281,0.0296,94.1147,,,14.7713,2.6752,26.171,0.4466,0.6482,2.0,10.3643,25894.3,732.0,1.0935,110450.6921,85.2039,4.3241,946049.0
12327,175043,PHOENIX TOWNSHIP LTD.,2018,181.2,180.9,398.5,6.3,398.5,27.1915,36.4,53.4,1.0,24.9,,24.9,145.6,152.3,20.4,6.3,15.1,0.1,6.2,1.2,35.3,8.3,216.8,317.2,35.5,113.0,165.9,174.9,180.9,20.4,362.1,239.2,317.2,180.2,0.1,-25.8,98.3,181.2,180.9,11.8379,18.8634,1.4987,6.3,0.0,8.4,8.4,14.9,27.1,0.0,75.6271,0.4671,1.1278,58.582,36.7637,4.901,0.0,6.2,83.2476,87.0783,3.8308,83.0,3.4768,0.0,0.0,0.0,57.4648,0.0,18.8732,5.9155,17.7465,19.5916,4.6358,3.4768,14.9558,3.532,3.9938,3.9314,16.9111,2.5328,1.953,1.9225,1.6499,5.2244,68.4066,0.5485,0.5686,1.0722,0.1304,6.6004,,,6.1012,2.7022,5.941,0.5862,0.7512,10.0,0.5363,165.2,18.2,1.05,245.4238,38.3475,1.5019999999999998,40420.0
12347,175214,PIDILITE INDUSTRIES LTD.,2018,56739.2,54832.4,65133.6,9551.9,65133.6,14588.9322,31801.0,8719.0,492.2,7222.3,,7222.3,41963.1,42038.5,914.8,6621.0,13938.8,17.0,60.6,6309.4,12954.1,13053.7,507.8,18108.0,14853.6,32379.95,43074.8,47272.1,53444.8,914.8,33332.6,9400.7,18108.0,50.1,1089.8,16648.4,15443.3,55961.0,54917.2,10097.0132,-6379.3986,-1188.2145,9551.9,0.0,13863.4,13777.5,12039.3,10138.6,25.4944,583.28,0.9209,0.2615,-252.21,399.1861,-38.6728,25.4944,60.6,88.7693,88.9288,0.1595,11.9781,16.8347,0.0,0.3696,0.2087,6.1588,0.0,0.5076,28.4483,64.307,26.1787,24.2822,16.8347,17.8688,15.6913,25.2209,27.4351,29.1202,37.493,25.2209,27.4351,14.2521,-6.8032,22.7109,1.7365,2.2138,0.0,0.8364,6.3781,9.7384,10.7082,8.0812,7.2905,9.8029,3.0977,5.8344,1.0,18.2732,41163.9,1195.4,1.0548,603177.11,68.6912,16.9245,13140065.0
12352,175269,PILANI INVESTMENT & INDS. CORPN. LTD.,2018,413.8,19.0,9746.9,360.6,9746.9,5.8295,1869.1,13.5,,2.4,0.9,2.4,39.7,39.7,5.4,122.7,368.7,1.5,,,-20.7,368.7,79.1,0.3,374.1,22.83,42.6,53.2,16.3,5.4,7877.8,0.0,0.3,19.0,394.8,1489.3,1.9,413.8,19.0,9.0845,-120.5083,-2.0761,360.6,0.0,368.7,361.8,-26.1,368.6,54.8253,,0.0427,-0.6921,106.1747,-8.0039,-5.8605,54.8253,,74.6241,74.6241,0.0,0.9339,87.1435,0.0,0.0,1.8444,1.4435,0.0,0.0,0.3208,96.3913,90.406,87.4335,87.1435,89.0768,87.1435,3.8769,3.8769,3.9629,3.964,3.8769,3.8769,3.7239999999999998,-0.008,0.1284,4.9115,4.9213,0.0,3.9810000000000003,43.6972,,,7.3077,0.0,30.2044,76.0,,10.0,48.655,9628.4,3300.0,1.05,25280.7148,65.6983,2.6256,81501.0
12365,175632,PIONEER EMBROIDERIES LTD.,2018,2649.0,2625.7,1873.3,-58.5,1873.3,733.5821,757.6,709.7,2.0,250.1,,250.1,2509.2,2603.4,85.3,-58.5,35.7,3.3,68.2,308.6,97.7,-73.0,271.1,1125.7,121.0,2221.48,2613.1,2688.7,2570.6,85.3,1115.7,959.3,1125.7,,8.8,13.2,383.1,2640.4,2606.9,-238.9879,563.3259,-56.5379,-58.5,0.0,-58.5,-58.5,12.4,25.2,,273.71,1.3672,-1.239,210.3532,-89.2412,-22.0339,,68.2,93.3239,96.8275,3.5036,-8.2955,-2.2084,0.0,0.0,0.0,70.4959,0.0,77.8512,0.0,-48.3471,4.5678,-2.2084,-2.2084,0.9513,-2.5413,-9.4076,-8.2019,3.5331,-5.0603,-4.6513,-4.0552,-3.4632,87.2375,33.0121,0.40299999999999997,1.0186,0.8919,0.0197,2.8635,17.4888,11.1688,9.3608,6.3802,7.8003,2.3928,2.6977,10.0,-1.2315,759.7,50.8,1.1832,1145.571,,1.5276,783228.0
12374,175679,PIONEER INVESTCORP LTD.,2018,347.1,0.1,1522.8,15.3,1522.8,1360743.25,884.6,299.1,0.2,476.5,,476.5,269.3,325.0,4.3,15.3,73.5,,48.9,306.0,-269.2,7.7,129.0,159.5,77.8,143.99,265.9,331.8,0.1,4.3,638.2,31.4,159.5,0.1,336.9,557.2,43.1,342.6,0.1,47.4322,-216.3575,-19.1747,15.3,0.0,17.8,17.8,-273.5,15.4,0.0,0.3185,0.2102,-1.3996,115.0226,-25.2165,-15.0179,0.0,48.9,81.1634,97.9506,16.7872,0.0229,4.408,0.0,0.0,0.0,5.527,0.0,71.5938,3.2134,19.6658,22.4143,5.1282,4.408,4.4368,3.1524,0.9255,1.3111,1.3197,0.4918,0.6898,0.9772,0.6542,94.9894,53.8662,1.8219999999999998,2.8263,0.2588,0.2225,73.7138,,,0.0002,,1.7853,0.0006,0.0034,10.0,2.2526,1168.9,64.25,1.1673,727.977,49.9847,0.6271,42014.0
12383,175864,RELIANCE NAVAL & ENGG. LTD.,2018,4559.1,3351.7,125648.7,-9560.8,125648.7,32006.6583,26222.2,100581.0,0.2,8027.9,,8027.9,4604.9,11626.7,1980.7,-9560.8,-4663.5,94.0,6568.2,6984.1,-1237.2,-9513.8,7471.5,62585.6,-2682.8,4685.92,7395.0,14135.9,3329.2,1980.7,99426.5,49659.0,62585.6,,725.9,-80006.1,10166.2,4079.7,3367.7,242.5027,-1270.3951,-54.6076,-9560.8,0.0,-11685.3,-11685.3,-3217.9,-9155.1,,6.7494,0.037000000000000005,-0.213,117.3575,-22.4021,3.27,,10446.5,32.5759,82.2494,49.6735,-13.1062,-209.7081,0.0,0.0,0.0,-73.8296,0.0,-261.73400000000004,79.1897,356.3739,-58.8449,-256.3072,-209.7081,-200.8094,-181.0721,-106.0336,-137.2328,-131.4095,-9.2909,-7.2142,-9.3368,-5.99,231.3654,30.6149,0.1524,0.24,45.8618,0.0157,86.7905,0.5132,1018.6783,0.4204,0.6912,12.0808,0.054000000000000006,0.0554,10.0,-7.1168,6312.8,72.65,1.3307,48127.8299,,10.0927,130209084.0
12388,175908,MARATHON NEXTGEN REALTY LTD.,2018,705.7,131.5,9758.8,309.1,9758.8,29019.2224,3372.5,2180.0,0.1,17.1,,17.1,2881.5,2924.1,5.9,281.4,435.8,566.7,42.6,2820.8,-128.4,390.6,230.0,20.9,441.7,2792.15,2867.9,3018.2,128.9,5.9,6386.3,14.1,20.9,1.5,567.5,1162.4,1782.1,699.3,2753.1,512.9446,-1901.388,-392.2565,309.1,0.0,393.2,391.8,-134.3,311.7,7.441,932.6241,0.0796,-1.1738,106.7776,-28.8058,15.5984,7.441,100.5,95.4708,96.8822,1.4114,0.6883,43.8005,0.0,0.317,0.0,1.3357,0.0,9.6446,18.7231,69.9796,62.5903,55.5193,43.8005,44.1689,43.8724,4.7644,4.8001,4.8405,5.1803,4.0689,4.0994,3.4585,-37.0582,0.507,0.065,1.5328,0.3603,0.0519,14.4198,,,0.0988,4.893,13.6849,9.9245,15.6548,10.0,23.6957,5882.0,669.5,1.1523,14912.05,37.3488,2.5352,165905.0
12400,176007,PITTI ENGINEERING LTD.,2018,4316.5,4287.1,5494.2,112.8,5494.2,2841.7282,3136.1,2855.2,0.3,1368.3,16.2,1368.3,3750.1,3985.9,176.3,112.8,399.7,11.5,160.7,1291.7,556.8,156.2,199.1,3174.9,576.0,3058.55,3905.8,4223.5,3791.5,176.3,2358.1,2013.5,3174.9,251.1,11.5,-94.7,1035.8,4316.5,4306.9,789.2374,221.1092,53.6534,112.8,0.0,163.9,161.8,380.5,303.6,0.0,212.9178,0.8991,1.1349,20.7809,74.1764,6.2103,0.0,160.7,88.7913,94.3743,5.582999999999999,13.5826,2.6132,0.0,0.0,0.3646,30.6076,0.0,40.9375,8.5069,19.5833,13.3441,3.7484,2.6132,7.0335,2.8495,9.2156,8.4513,22.7467,4.4393,3.4958,3.2059,2.562,63.1186,43.6306,0.5205,0.9675,1.6548,0.0464,12.6345,5.6801,5.0222,3.7823,2.4565,12.1182,1.6871,2.908,5.0,4.64,1535.7,113.0,1.1987,3112.5356,35.121,2.3468,1269663.0
12405,176035,PIX TRANSMISSIONS LTD.,2018,2562.7,2508.8,3496.2,214.7,3496.2,1337.1770000000001,1529.1,926.8,0.3,751.6,,751.6,2047.7,2189.4,135.3,181.9,472.5,18.0,126.7,513.1,557.7,333.9,136.2,3105.1,608.5,1506.77,2081.6,2444.6,2501.7,135.3,1967.1,1858.4,3105.1,74.1,53.9,537.6,634.6,2562.7,2605.4,73.3893,78.4211,2.3896,214.7,0.0,330.8,325.2,421.7,374.8,12.6688,134.9978,0.7311,1.4877,50.8568,47.5936,2.7313,12.6688,126.7,83.7642,89.5607,5.7964,6.1948,8.3779,0.0,0.8381,0.0822,22.235,0.115,23.2868,18.1594,35.2835,23.7445,12.6897,8.3779,14.6252,8.4988,12.1771,12.0038,20.9549,11.3336,7.3928,7.2876,6.2135,80.6297,49.1531,0.9824,1.5504,0.5538,0.2098,17.3066,5.6799,8.8218,3.4614,5.8418,4.6359,0.8439,1.4015,10.0,22.9942,1987.2,284.4,1.1999,3682.8916,17.8256,1.8533,478721.0
12414,176274,PLASTIBLENDS INDIA LTD.,2018,5823.7,5800.8,4474.1,273.2,4474.1,2087.2004,2544.0,1275.7,0.3,1244.2,,1244.2,5307.6,5383.7,116.5,234.1,462.2,0.8,76.1,976.3,555.8,384.1,129.9,1971.5,578.7,4780.42,5358.7,5613.1,5676.3,116.5,1930.1,1755.4,1971.5,1.5,20.9,1039.2,660.5,5823.2,5863.4,664.9078,-712.3164,-79.5914,273.2,0.0,386.1,380.5,439.3,405.5,11.895999999999999,330.4546,1.3672,-0.2967,560.8791,-523.5495,60.681999999999995,11.895999999999999,76.1,94.5574,95.9131,1.3558,18.378,4.6912,0.0,0.9677,0.0,20.1313,0.0,13.1502,18.5416,47.2093,9.937000000000001,6.5336,4.6912,6.9629,4.683,11.5664,11.5876,17.199,11.3683,8.0712,8.086,6.4022,88.4841,48.9072,0.9944,1.8013,0.4565,0.0173,1.5326,8.637,15.9241,4.8849,12.3114,22.676,3.0757,3.3641,5.0,12.3359,2580.4,278.95,1.1898,7121.0408,33.2138,3.0047,367330.0
12428,176643,PODDAR PIGMENTS LTD.,2018,3824.5,3750.0,2778.4,191.1,2778.4,984.5039999999999,1951.3,202.4,,479.0,,479.0,3585.7,3593.7,30.8,178.3,291.3,3.1,1.7,472.8,247.6,256.3,106.1,319.2,322.1,2877.96,3527.6,3716.7,3684.5,30.8,827.1,259.9,319.2,,47.5,1157.5,55.7,3801.4,3833.3,1070.8853,-665.3428,-197.0425,191.1,0.0,283.3,283.3,216.8,228.2,5.5468,1442.8626,1.7428,0.4158,-319.1092,513.6141,-88.1415,5.5468,1.7,96.4754,96.6906,0.2152,5.3958,4.9967,0.0,0.0,0.0,9.5622,0.0,2.4837,28.6247,59.3294,8.422,7.4075,4.9967,5.9668,4.4194,11.8552,13.4853,16.1033,18.0138,11.8077,13.4313,7.6557,130.2597,24.5477,1.8672,2.5415,0.0,0.47600000000000003,9.5606,8.7964,44.2423,7.5263,19.7943,17.8302,-63.1313,-36.1969,10.0,18.0773,1595.9,359.0,1.1283,3648.2485,19.0211,2.5737,173993.0
12477,176978,POLYPLEX CORPORATION LTD.,2018,11683.9,11069.9,7879.6,589.0,7879.5,2649.0657,3730.0,2240.1,0.6,1152.6,9.3,1152.6,10313.3,10506.7,475.1,301.1,989.8,34.1,145.3,1369.6,850.9,741.5,325.6,9570.9,1464.9,9322.6,10722.2,11189.2,10919.4,475.1,4149.6,3162.3,9570.9,26.1,559.1,459.5,524.4,11683.6,11164.2,795.7424,417.9001,31.8575,589.0,0.0,796.4,793.7,375.8,1081.0,48.8625,350.0585,1.5551,2.3403,33.5528,63.8894,5.4816,48.8625,150.1,92.1719,93.9004,1.7285,1.3262,5.0411,0.0,0.0614,0.1229,32.4322,0.0,13.2023,13.9737,40.2075,12.5378,6.7931,5.0411,9.252,5.0387,12.9061,12.9127,23.6989,11.1059,8.8173,8.8218,7.8352,52.4739,30.9008,0.609,1.1742,0.4628,0.0168,1.508,9.1016,28.479,11.1851,67.6172,16.7028,1.1638,3.3218,10.0,51.6436,5905.1,667.8,1.0735,20829.9708,27.5516,3.8338,315238.0
12486,176994,POLYSPIN EXPORTS LTD.,2018,1815.1,1810.0,1042.2,50.1,1042.2,481.1366,638.5,636.4,1.8,248.1,,248.1,1666.5,1719.0,29.0,44.8,133.4,2.9,44.6,243.3,159.2,81.7,40.0,577.5,162.4,1455.33,1678.8,1780.7,1807.4,29.0,403.7,382.4,577.5,,4.0,-99.4,123.4,1814.0,1825.7,133.9184,110.2282,9.4535,50.2,-0.1,80.9,76.3,130.2,86.6,8.5828,473.3264,1.8252,3.2285,43.4654,52.8069,4.0253,8.5828,44.6,93.5868,96.5351,2.9483,20.425,2.7602,0.0,0.0,2.8325,17.8571,0.0,32.3276,16.133,30.8498,8.9472,4.2036,2.7602,4.7711,2.806,21.4451,21.1081,36.4862,10.9195,6.803,6.6961,5.1184,45.7941,38.8567,0.4684,0.8492,2.0477,0.054000000000000006,7.7401,16.9521,56.4081,8.3583,8.5712,6.8272,3.1666,4.6404,10.0,12.725,259.8,147.15,1.1173,574.2,19.2593,2.2102,222599.0
12491,177009,POLYTEX INDIA LTD.,2018,7.7,,153.7,1.7,153.7,0.0,0.8,2.2,,,,,4.8,5.2,,1.7,2.8,7.7,,,-4.8,2.5,135.0,1.1,2.8,2.92,4.8,6.0,-0.1,,152.9,0.0,1.1,,7.7,-1.4,0.1,7.7,,-0.3347,-1.1059999999999999,0.0407,1.7,0.0,2.4,2.4,-4.8,1.7,0.0,,0.0498,0.2373,78.9968,23.909000000000002,21.0032,0.0,,80.0,86.6667,6.6667,0.3247,22.0779,0.0,0.0,0.0,0.0,0.0,14.2857,25.0,60.7143,36.3636,31.1688,22.0779,22.0779,23.3766,1.1956,1.1292,1.1292,1.6606,1.1956,1.1292,1.165,165.4545,0.0,0.3636,0.3636,0.0,0.1818,30.4167,,,,0.0,1.8780000000000001,0.0,,10.0,0.2889,153.4,5.15,1.0499,68.85,59.4,0.4488,4600.0
12500,177096,PONNI SUGARS (ERODE) LTD.,2018,3944.2,3906.2,3479.2,33.4,3479.2,1138.7149,518.3,484.8,0.2,183.9,,183.9,3526.1,3549.6,56.8,7.5,61.5,1.0,16.3,313.1,201.2,143.7,86.0,1833.4,118.3,1644.22,3761.0,3731.9,1969.8,56.8,2960.9,1195.2,1833.4,,22.8,23.7,263.3,3934.2,3727.3,-559.1211,-725.99,78.811,33.4,0.0,38.0,38.0,144.4,90.0,64.3713,326.824,1.7463,4.3857,60.1832,46.3501,-6.4163,64.3713,16.3,94.4854,95.1151,0.6297,6.3026,0.8468,0.0,0.0,0.0,48.0135,0.0,19.8648,3.8884,28.2333,2.9993,0.9634,0.8468,2.2818,3.6678,10.5221,2.4355,6.5626,8.6938,8.7301,2.0207,6.3888,45.6749,35.4814,0.3972,1.0486,0.0527,0.0109,0.5144,115.6284,4.3009,18.4385,1.1391,26.6004,7.3953,-45.2893,10.0,16.7822,1433.6,189.4,1.2,1577.3798,12.7656,1.1003,176393.0
12533,177753,POWER FINANCE CORPN. LTD.,2018,287683.5,67.2,2929207.1,58552.2,2929207.1,0.0,479477.2,460241.1,,,,,7616.7,182671.9,64.1,33915.5,279997.8,265096.4,163741.3,,-7549.5,87120.1,26400.8,1184.9,280061.9,1239.92,6485.8,229131.3,37.3,64.1,2449729.9,648.3,1184.9,67.2,269788.9,-396787.3,2028935.4,269921.7,67.2,24837.4505,-12126.4344,-1091.0161,58552.2,0.0,104942.6,83273.7,-7613.6,63075.2,35.1696,10.3656,0.1034,0.0506,-104.3583,213.7474,204.1881,35.1696,163741.3,3.3242,79.7237,76.3995,0.3229,20.352999999999998,0.0,7.7372,0.0,0.0229,0.0,62.5059,8.8272,20.9069,97.3507,28.9463,20.352999999999998,21.9252,15.1138,10.7364,15.4097,16.6,3.4268,1.6047,2.3031,1.4664,104.3216,0.0,0.1257,0.1392,5.8161,0.0352,311.3232,,,,,165.6368,0.0574,0.1055,10.0,16.4024,412339.3,129.45,1.082,337534.408,35.1163,0.8216,57225598.0
12538,177758,POWER GRID CORPN. OF INDIA LTD.,2018,311811.9,301153.0,2301673.4,82389.6,2301673.4,14884762.9372,177612.7,254332.8,233.0,36871.1,,36871.1,34946.8,113542.7,93076.5,45939.9,183527.7,6921.5,73284.0,10767.6,265125.8,103860.6,52315.9,1771019.9,276604.2,103152.97,128860.3,229422.3,300806.7,93076.5,2124060.7,1536103.5,1771019.9,7946.9,10407.2,-148258.2,1433913.8,311723.8,301153.0,28164.8591,14132.3028,1485.0381,82389.6,0.0,104931.8,104615.1,172049.3,175888.8,36.829,19.605,0.1424,0.2103,32.2786,64.3295,5.3947,36.829,88672.0,15.2325,49.4907,34.2582,9.9797,26.4229,0.0,0.1145,0.0,33.6497,0.0,28.4146,8.0351,29.7861,88.7087,33.5507,26.4229,56.4086,26.4858,15.8895,15.8562,33.8506,5.8706,4.6668,4.657,3.7711,-57.0214,20.7593,0.4791,0.5412,2.4176,0.0672,66.7422,0.0087,,8.677999999999999,1.1778,19.4367,0.1844,0.2085,10.0,16.1411,565646.5,217.0,1.0404,1118775.4462,13.5507,2.0594,154323307.0
12543,177768,POWER MECH PROJECTS LTD.,2018,13174.6,13102.0,15482.1,658.9,15482.1,5110.412,11524.6,6508.8,130.4,3150.2,327.5,3150.2,11445.1,11802.6,363.9,641.2,1369.5,57.4,320.1,336.4,1661.0,1007.5,147.1,2582.7,1733.4,10496.48,11798.7,12519.8,13040.1,363.9,3957.5,1486.0,2582.7,123.0,67.9,2426.6,980.6,13169.9,13106.1,509.8717,-311.4456,-12.2261,658.9,0.0,1012.0,1012.0,1297.1,983.4,2.6863,881.6958,0.8759999999999999,0.3278,-167.264,273.8301,-5.0735,2.6863,320.1,91.416,94.2715,2.8555,14.838,5.0013,0.0,0.0,0.0,20.9934,0.0,20.6242,20.3704,38.012,13.1571,7.6814,5.0013,7.4644,4.9689,10.0801,10.1494,15.1479,11.3578,7.3772,7.4279,4.3511,57.2271,27.3346,0.9129999999999999,1.3156,0.4143,0.0362,22.3881,4.7258,,4.5141,3.1872,6.0008,5.3112,5.2685,10.0,45.5449,6984.6,1084.0,1.1325,15630.9223,23.9754,2.2945,513238.0
12548,177792,P T C INDIA LTD.,2018,183921.7,181890.9,64703.9,3192.0,64703.9,32128.6114,38984.5,23377.1,0.2,32818.6,,32818.6,178191.3,179387.3,28.5,2250.7,5701.9,1171.0,1172.8,,3699.6,4501.0,2960.1,320.1,5730.4,176856.33,178163.4,180729.7,181883.9,28.5,25719.4,233.3,320.1,1966.4,2025.9,15280.9,8973.9,183921.5,181890.9,1364.3406,39045.1008,372.1586,3192.0,0.0,4505.9,4448.6,3671.1,3263.3,27.8195,77964.3806,2.7338,64.2028,95.742,3.3455,0.9685,27.8195,1172.8,98.5955,99.2572,0.6618,2.2217,1.7355,0.0,0.7958,0.2042,0.4973,0.0,20.8711,21.9287,55.7029,3.1157,2.4187,1.7355,1.7743,1.7354,9.9509,9.9515,10.1738,11.5044,8.1581,8.1586,4.7442,-23.3932,84.1837,1.5824,1.6529,0.2076,0.1801,5.9781,,,5.5453,7.0798,604.6072,197.8258,215.1918,10.0,10.7828,33816.5,122.4,1.0768,35831.8073,11.781,1.0695,14174043.0
12553,177989,PRABHAT DAIRY LTD.,2018,14513.7,14418.1,8095.1,189.0,8095.1,1515.3870000000002,2872.3,1847.9,6.3,934.4,,934.4,13933.3,14101.1,190.3,141.7,380.6,82.7,157.0,480.8,477.0,201.6,976.8,2133.2,570.9,13437.1,14128.1,14316.9,14395.1,190.3,5222.8,1631.7,2133.2,1019.3,82.7,997.9,508.7,14506.2,14410.3,977.5736,1892.1426,161.0838,189.0,0.0,212.8,212.8,286.7,357.8,20.6878,883.6244,1.7607,4.6866,62.4305,32.2546,5.7961,20.6878,157.0,97.3206,98.4927,1.172,2.4377,1.3022,0.0,0.0,0.0,33.3333,0.0,29.3922,4.1689,33.1056,3.9335,1.4662,1.3022,2.4653,1.2629,3.2455,3.3482,6.3386,2.8352,2.5764,2.658,2.2225,141.4566,32.5314,1.0555,1.536,0.2224,0.5204,25.0316,163.347,44.1139,14.1646,30.6743,43.0835,7.7069,9.8494,10.0,2.1633,5766.2,253.8,1.1338,23647.3913,140.3406,4.1634,1341579.0
