,co_code,company_name,listed,delisted,delist_date
203,10397,RHODIA SPECIALTY CHEMICALS INDIA PVT. LTD.,1,1,2002-01-19
204,10447,ALCHEMIE ORGANICS LTD. [MERGED],1,1,2002-07-03
205,10489,ALCOBEX METALS LTD.,1,1,2017-12-01
206,10564,SHRENO LTD.,1,1,2007-01-08
207,10566,ALEMBIC LTD.,1,0,
208,10586,ALERT PETROGAS LTD.,1,1,2016-08-17
209,10626,ALEXCON EXTRUSIONS LTD.,1,1,2004-07-02
210,10627,ALEXCON FOAMCAST LTD.,1,1,2017-12-01
211,10664,ALFA EXPORT TECHNOLOGIES INDIA LTD.,1,1,2002-07-03
212,10674,ALFA ICA (INDIA) LTD.,1,0,
213,10678,ALFA LAVAL INDIA PVT. LTD.,1,1,2012-04-19
214,10714,ALFA TRANSFORMERS LTD.,1,0,
215,10735,ALFAVISION OVERSEAS (INDIA) LTD.,1,0,
216,10752,ALFRED HERBERT (INDIA) LTD.,1,1,1999-03-13
217,10853,ALKA DIAMOND INDS. LTD.,1,0,
218,10866,ALKA SECURITIES LTD.,1,0,
219,10867,ALKA INDIA LTD.,1,0,
220,10872,ALKALI METALS LTD.,1,0,
221,10884,ALKEM LABORATORIES LTD.,1,0,
222,10903,ALKYL AMINES CHEMICALS LTD.,1,0,
223,10977,ALL METAL PROCESS INDS. LTD.,1,0,
224,10988,ALL SEASONS FOODS LTD.,1,1,1992-11-14
225,11019,ALLAHABAD BANK,1,0,
226,11063,ALLCARGO LOGISTICS LTD.,1,0,
227,11137,ALLIANCE CAPITAL & FINANCIAL SERVICES LTD.,1,1,2004-07-02
228,11156,ALLIANCE CREDIT & INVESTMENTS LTD. [MERGED],1,1,1998-12-24
229,11173,ALLIANCE FUNDS MGMT. LTD.,1,1,1998-10-06
230,11259,AVONMORE CAPITAL & MGMT. SERVICES LTD.,1,0,
231,11262,ALMONDZ GLOBAL SECURITIES LTD.,1,0,
232,11284,RAP MEDIA LTD.,1,0,
233,11303,ALLIED DIGITAL SERVICES LTD.,1,0,
234,11366,ALLIED RESINS & CHEMICALS LTD. [MERGED],1,1,2011-03-30
235,11443,ALLSEC TECHNOLOGIES LTD.,1,0,
